雁鴨科 ㄧㄢˋ-ㄧㄚ-ㄎㄜ
雉科 ㄓˋ-ㄎㄜ
鳩鴿科 ㄐㄧㄡ-ㄍㄜ-ㄎㄜ
杜鵑科 ㄉㄨˋ-ㄐㄩㄢ-ㄎㄜ
夜鷹科 ㄧㄝˋ-ㄧㄥ-ㄎㄜ
雨燕科 ㄩˇ-ㄧㄢˋ-ㄎㄜ
秧雞科 ㄧㄤ-ㄐㄧ-ㄎㄜ
鶴科 ㄏㄜˋ-ㄎㄜ
長腳鷸科 ㄔㄤˊ-ㄐㄧㄠˇ-ㄩˋ-ㄎㄜ
蠣鷸科 ㄌㄧˋ-ㄩˋ-ㄎㄜ
彩鷸科 ㄘㄞˇ-ㄩˋ-ㄎㄜ
水雉科 ㄕㄨㄟˇ-ㄓˋ-ㄎㄜ
鷸科 ㄩˋ-ㄎㄜ
三趾鶉科 ㄙㄢ-ㄓˇ-ㄔㄨㄣˊ-ㄎㄜ
賊鷗科 ㄗㄟˊ-ㄡ-ㄎㄜ
海雀科 ㄏㄞˇ-ㄑㄩㄝˋ-ㄎㄜ
鷗科 ㄡ-ㄎㄜ
熱帶鳥科 ㄖㄜˋ-ㄉㄞˋ-ㄋㄧㄠˇ-ㄎㄜ
潛鳥科 ㄑㄧㄢˊ-ㄋㄧㄠˇ-ㄎㄜ
信天翁科 ㄒㄧㄣˋ-ㄊㄧㄢ-ㄨㄥ-ㄎㄜ
海燕科 ㄏㄞˇ-ㄧㄢˋ-ㄎㄜ
鸛科 ㄍㄨㄢˋ-ㄎㄜ
軍艦鳥科 ㄐㄩㄣ-ㄐㄧㄢˋ-ㄋㄧㄠˇ-ㄎㄜ
鰹鳥科 ㄐㄧㄢ-ㄋㄧㄠˇ-ㄎㄜ
鵜鶘科 ㄊㄧˊ-ㄏㄨˊ-ㄎㄜ
鷺科 ㄌㄨˋ-ㄎㄜ
鶚科 ㄜˋ-ㄎㄜ
鷹科 ㄧㄥ-ㄎㄜ
草鴞科 ㄘㄠˇ-ㄒㄧㄠ-ㄎㄜ
鴟鴞科 ㄔ-ㄒㄧㄠ-ㄎㄜ
戴勝科 ㄉㄞˋ-ㄕㄥˋ-ㄎㄜ
翠鳥科 ㄘㄨㄟˋ-ㄋㄧㄠˇ-ㄎㄜ
蜂虎科 ㄈㄥ-ㄏㄨˇ-ㄎㄜ
佛法僧科 ㄈㄛˊ-ㄈㄚˇ-ㄙㄥ-ㄎㄜ
鬚鴷科 ㄒㄩ-ㄌㄧㄝˋ-ㄎㄜ
啄木鳥科 ㄓㄨㄛˊ-ㄇㄨˋ-ㄋㄧㄠˇ-ㄎㄜ
隼科 ㄓㄨㄣˇ-ㄎㄜ
八色鳥科 ㄅㄚ-ㄙㄜˋ-ㄋㄧㄠˇ-ㄎㄜ
山椒鳥科 ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ-ㄎㄜ
綠鵙科 ㄌㄩˋ-ㄐㄩㄝˊ-ㄎㄜ
黃鸝科 ㄏㄨㄤˊ-ㄌㄧˊ-ㄎㄜ
扇尾鶲科 ㄕㄢˋ-ㄨㄟˇ-ㄨㄥ-ㄎㄜ
卷尾科 ㄐㄩㄢˇ-ㄨㄟˇ-ㄎㄜ
王鶲科 ㄨㄤˊ-ㄨㄥ-ㄎㄜ
伯勞科 ㄅㄛˊ-ㄌㄠˊ-ㄎㄜ
鴉科 ㄧㄚ-ㄎㄜ
細嘴鶲科 ㄒㄧˋ-ㄗㄨㄟˇ-ㄨㄥ-ㄎㄜ
山雀科 ㄕㄢ-ㄑㄩㄝˋ-ㄎㄜ
攀雀科 ㄆㄢ-ㄑㄩㄝˋ-ㄎㄜ
百靈科 ㄅㄞˇ-ㄌㄧㄥˊ-ㄎㄜ
扇尾鶯科 ㄕㄢˋ-ㄨㄟˇ-ㄧㄥ-ㄎㄜ
葦鶯科 ㄨㄟˇ-ㄧㄥ-ㄎㄜ
蝗鶯科 ㄏㄨㄤˊ-ㄧㄥ-ㄎㄜ
鷦眉科 ㄐㄧㄠ-ㄇㄟˊ-ㄎㄜ
燕科 ㄧㄢˋ-ㄎㄜ
鵯科 ㄅㄟ-ㄎㄜ
柳鶯科 ㄌㄧㄡˇ-ㄧㄥ-ㄎㄜ
樹鶯科 ㄕㄨˋ-ㄧㄥ-ㄎㄜ
長尾山雀科 ㄔㄤˊ-ㄨㄟˇ-ㄕㄢ-ㄑㄩㄝˋ
鶯科 ㄧㄥ-ㄎㄜ
繡眼科 ㄒㄧㄡˋ-ㄧㄢˇ-ㄎㄜ
畫眉科 ㄏㄨㄚˋ-ㄇㄟˊ-ㄎㄜ
雀眉科 ㄑㄩㄝˋ-ㄇㄟˊ-ㄎㄜ
噪眉科 ㄗㄠˋ-ㄇㄟˊ-ㄎㄜ
戴菊科 ㄉㄞˋ-ㄐㄩˊ-ㄎㄜ
