樹鴨 ㄕㄨˋ-ㄧㄚ
斑頭雁 ㄅㄢ-ㄊㄡˊ-ㄧㄢˋ
灰雁 ㄏㄨㄟ-ㄧㄢˋ
鴻雁 ㄏㄨㄥˊ-ㄧㄢˋ
豆雁 ㄉㄡˋ-ㄧㄢˋ
黑雁 ㄏㄟ-ㄧㄢˋ
疣鼻天鵝 ㄧㄡˊ-ㄅㄧˊ-ㄊㄧㄢ-ㄜˊ
瀆鳧 ㄉㄨˊ-ㄈㄨˊ
花鳧 ㄏㄨㄚ-ㄈㄨˊ
棉鴨 ㄇㄧㄢˊ-ㄧㄚ
巴鴨 ㄅㄚ-ㄧㄚ
白眉鴨 ㄅㄞˊ-ㄇㄟˊ-ㄧㄚ
琵嘴鴨 ㄆㄧˊ-ㄗㄨㄟˇ-ㄧㄚ
赤膀鴨 ㄔˋ-ㄅㄤˇ-ㄧㄚ
羅文鴨 ㄌㄨㄛˊ-ㄨㄣˊ-ㄧㄚ
赤頸鴨 ㄔˋ-ㄐㄧㄥˇ-ㄧㄚ
葡萄胸鴨 ㄆㄨˊ-ㄊㄠˊ-ㄒㄩㄥ-ㄧㄚ
呂宋鴨 ㄌㄩˇ-ㄙㄨㄥˋ-ㄧㄚ
花嘴鴨 ㄏㄨㄚ-ㄗㄨㄟˇ-ㄧㄚ
尖尾鴨 ㄐㄧㄢ-ㄨㄟˇ-ㄧㄚ
小水鴨 ㄒㄧㄠˇ-ㄕㄨㄟˇ-ㄧㄚ
赤嘴潛鴨 ㄔˋ-ㄗㄨㄟˇ-ㄑㄧㄢˊ-ㄧㄚ
帆背潛鴨 ㄈㄢˊ-ㄅㄟˋ-ㄑㄧㄢˊ-ㄧㄚ
紅頭潛鴨 ㄏㄨㄥˊ-ㄊㄡˊ-ㄑㄧㄢˊ-ㄧㄚ
環頸潛鴨 ㄏㄨㄢˊ-ㄐㄧㄥˇ-ㄑㄧㄢˊ-ㄧㄚ
白眼潛鴨 ㄅㄞˊ-ㄧㄢˇ-ㄑㄧㄢˊ-ㄧㄚ
青頭潛鴨 ㄑㄧㄥ-ㄊㄡˊ-ㄑㄧㄢˊ-ㄧㄚ
潛鴨 ㄑㄧㄢˊ-ㄧㄚ
鳳頭 ㄈㄥˋ-ㄊㄡˊ
斑背潛鴨 ㄅㄢ-ㄅㄟˋ-ㄑㄧㄢˊ-ㄧㄚ
長尾鴨 ㄓㄤˇ-ㄨㄟˇ-ㄧㄚ
鵲鴨 ㄑㄩㄝˋ-ㄧㄚ
白秋沙 ㄅㄞˊ-ㄑㄧㄡ-ㄕㄚ
川秋沙 ㄔㄨㄢ-ㄑㄧㄡ-ㄕㄚ
紅胸秋沙 ㄏㄨㄥˊ-ㄒㄩㄥ-ㄑㄧㄡ-ㄕㄚ
唐秋沙 ㄊㄤˊ-ㄑㄧㄡ-ㄕㄚ
山鷓鴣 ㄕㄢ-ㄓㄜˋ-ㄍㄨ
黑長尾雉 ㄏㄟ-ㄔㄤˊ-ㄨㄟˇ-ㄓˋ
環頸雉 ㄏㄨㄢˊ-ㄐㄧㄥˇ-ㄓˋ
藍腹鷴 ㄌㄢˊ-ㄈㄨˋ-ㄒㄧㄢˊ
藍孔雀 ㄌㄢˊ-ㄎㄨㄥˇ-ㄑㄩㄝˋ
臺灣竹雞 ㄊㄞˊ-ㄨㄢ-ㄓㄨˊ-ㄐㄧ
小鸊鷉 ㄒㄧㄠˇ-ㄆㄧˋ-ㄊㄧˊ
角鸊鷉 ㄐㄧㄠˇ-ㄆㄧˋ-ㄊㄧˊ
赤頸鸊鷉 ㄔˋ-ㄐㄧㄥˇ-ㄆㄧˋ-ㄊㄧˊ
冠鸊鷉 ㄍㄨㄢˋ-ㄆㄧˋ-ㄊㄧˊ
黑頸鸊鷉 ㄏㄟ-ㄐㄧㄥˇ-ㄆㄧˋ-ㄊㄧˊ
野鴿 ㄧㄝˇ-ㄍㄜ
灰林鴿 ㄏㄨㄟ-ㄌㄧㄣˊ-ㄍㄜ
黑林鴿 ㄏㄟ-ㄌㄧㄣˊ-ㄍㄜ
白喉林鴿 ㄅㄞˊ-ㄏㄡˊ-ㄌㄧㄣˊ-ㄍㄜ
金背鳩 ㄐㄧㄣ-ㄅㄟˋ-ㄐㄧㄡ
灰斑鳩 ㄏㄨㄟ-ㄅㄢ-ㄐㄧㄡ
紅鳩 ㄏㄨㄥˊ-ㄐㄧㄡ
珠頸斑鳩 ㄓㄨ-ㄐㄧㄥˇ-ㄅㄢ-ㄐㄧㄡ
斑尾鵑鳩 ㄅㄢ-ㄨㄟˇ-ㄐㄩㄢ-ㄐㄧㄡ
長尾鳩 ㄔㄤˊ-ㄨㄟˇ-ㄐㄧㄡ
翠翼鳩 ㄘㄨㄟˋ-ㄧˋ-ㄐㄧㄡ
斑馬鳩 ㄅㄢ-ㄇㄚˇ-ㄐㄧㄡ
